COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
BE	Agalev	AGALEV	1999	2.44	CLL	https://en.wikipedia.org/wiki/Groen_(political_party)	"Today, this party is called Groen but was established as Agalev."
BE	Agalev	AGALEV	2002	2.64			
BE	Agalev	AGALEV	2019	2.42			
BE	CD&V	CD&V	2002	5.95	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_and_Flemish	"CD&V, CDV, CVP (until 2001)"
BE	CD&V	CD&V	2006	5.56			
BE	CD&V	CD&V	2010	5.79			
BE	CD&V	CD&V	2014	5.40			
BE	cdH	CDH	2002	5.65	CCR	https://en.wikipedia.org/wiki/Humanist_Democratic_Centre	"In 1972 PSC-CVP breaks down to Christian Social Party (PSC - which is called CDH after 2002), and Christian People’s Party (CVP - which is called CDV after 2001)."
BE	cdH	CDH	2006	5.50			
BE	cdH	CDH	2010	4.50			
BE	cdH	CDH	2014	4.40			
BE	CD&V	CDV	2019	5.58	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_and_Flemish	
BE	CVP	CVP	1999	5.78	C	"https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)"	
BE	Ecolo	ECOLO	1999	1.89	CLL	https://en.wikipedia.org/wiki/Ecolo	
BE	Ecolo	ECOLO	2002	2.56			
BE	Ecolo	ECOLO	2006	2.83			
BE	Ecolo	ECOLO	2010	2.29			
BE	Ecolo	ECOLO	2014	2.20			
BE	Ecolo	ECOLO	2019	2.08			
BE	FDF	FDF	1999	6.11	CCR	https://en.wikipedia.org/wiki/DéFI	
BE	FDF	FDF	2014	5.60			
BE	FN	FN	1999	9.89	FR	https://en.wikipedia.org/wiki/National_Front_(Belgium)	
BE	FN	FN	2010	9.21			
BE	Groen	Groen	2006	1.89	CLL	https://en.wikipedia.org/wiki/Groen_(political_party)	
BE	Groen!	Groen	2006	1.89	CLL	https://en.wikipedia.org/wiki/Groen_(political_party)	
BE	Groen	Groen	2010	2.29			
BE	Groen!	Groen	2010	2.29			
BE	Groen	Groen	2014	2.20			
BE	Groen!	Groen	2014	2.20			
BE	N-VA	ID21	1999	5.14	CRR	https://en.wikipedia.org/wiki/New_Flemish_Alliance	"In the 90s, Bert Anciaoux becomes the president of People’s Union Party (VU). From this point on the leadership of the party is much more progressive. During his time of presidency, he merged the ideas of iD21 movement as well as certain regional approaches inside the party. This was something that certain Party officials could not agree with and the more radical members formed a new party called VLAAMS BLOK. The tensions inside the VU party were rising until 2001 when the Party broke down into 3 separate parts: progressive part around Bert Anciaoux which created a Party called SPIRIT; conservative part which created a Party called N-VA; and central-liberal part which created OPEN VLD."
BE	LDD	LDD	2010	8.43	R	"https://en.wikipedia.org/wiki/Libertair,_Direct,_Democratisch"	
BE	0	MCC	1999	5.57	C	https://en.wikipedia.org/wiki/Mouvement_des_Citoyens_pour_le_Changement	
BE	MR	MR	2002	6.35	CR	https://en.wikipedia.org/wiki/Reformist_Movement	"From 1992 the Reformist Movement (MR) consisted of: FDF, MCC, PRL and PFF. In September 2001, FDF decides to leave the alliance and chooses a new name, becoming DeFI."
BE	MR	MR	2006	6.67			
BE	MR	MR	2010	7.00			
BE	MR	MR	2014	7.00			
BE	N-VA	NVA	2002	6.22	CRR	https://en.wikipedia.org/wiki/New_Flemish_Alliance	
BE	N-VA	NVA	2006	7.89			
BE	N-VA	NVA	2010	7.57			
BE	N-VA	NVA	2014	7.80			
BE	PP	PP	2014	7.75	RRF	https://en.wikipedia.org/wiki/People%27s_Party_(Belgium)	
